alpha,diam_um,A_th_cv,Ith_cv_uA,Q_th_cv_nC,A_th_cc,Ith_cc_uA,Q_th_cc_nC
0.8,0.8,0.251953125,24.945854207384457,-0.001265633757208828,0.251953125,25.1953125,0.05039062499999882
0.8,1.5,0.251953125,24.945854207384457,-0.001265633757208828,0.251953125,25.1953125,0.05039062499999882
0.8,2.0,0.251953125,24.945854207384457,-0.001265633757208828,0.251953125,25.1953125,0.05039062499999882
0.8,5.7,0.251953125,24.945854207384457,-0.001265633757208828,0.251953125,25.1953125,0.05039062499999882
0.8,6.0,0.251953125,24.945854207384457,-0.001265633757208828,0.251953125,25.1953125,0.05039062499999882
0.8,7.0,0.251953125,24.945854207384457,-0.001265633757208828,0.251953125,25.1953125,0.05039062499999882
0.8,8.0,0.59765625,59.17388672449336,-0.003002201005472123,0.251953125,25.1953125,0.05039062499999882
0.8,9.0,1.0,99.00990197039411,-0.005023290571244855,0.251953125,25.1953125,0.05039062499999882
0.8,10.0,1.609375,159.34406098360301,-0.008084358263100751,0.326171875,32.6171875,0.06523437500000243
0.8,11.0,2.453125,242.88366577112305,-0.012322759682587954,0.49609375,49.60937500000001,0.09921875000000084
0.8,12.0,3.65625,362.0049540792535,-0.018366406151115938,0.734375,73.4375,0.14687499999999615
